concurso;data;j1;j2;j3;j4;j5;j6;j7;j8;j9;j10;j11;j12;j13;j14;ganhadores_14;rateio_14;ganhadores_13;rateio_13;acumulado
280;2007-09-03;;;;;;;;;;;;;;;3;2204011.0;97;70565.0;não
281;2007-09-10;;;;;;;;;;;;;;;23;103505.0;644;7892.0;não
282;2007-09-17;;;;;;;;;;;;;;;2;12494643.0;43;124531.0;não
283;2007-09-24;;;;;;;;;;;;;;;1;24607394.0;81;64852.0;não
284;2007-10-01;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
285;2007-10-08;;;;;;;;;;;;;;;3;35251041.0;111;81085.0;não
286;2007-10-15;;;;;;;;;;;;;;;0;0.0;1;4685499.0;sim
287;2007-10-22;;;;;;;;;;;;;;;190;285551.0;3071;2252.0;não
288;2007-10-29;;;;;;;;;;;;;;;0;0.0;30;180404.0;sim
289;2007-11-05;;;;;;;;;;;;;;;0;0.0;1;6245139.0;sim
290;2007-11-12;;;;;;;;;;;;;;;2;6619328.0;84;116588.0;não
291;2007-11-19;;;;;;;;;;;;;;;0;0.0;8;506509.0;sim
292;2007-11-26;;;;;;;;;;;;;;;1;47191093.0;64;94692.0;não
293;2007-12-03;;;;;;;;;;;;;;;0;0.0;0;0.0;sim
294;2008-01-07;;;;;;;;;;;;;;;904;41716.0;12977;261.0;não
295;2008-01-14;;;;;;;;;;;;;;;0;0.0;90;36271.0;sim
296;2008-01-21;;;;;;;;;;;;;;;2;34277904.0;57;95246.0;não
297;2008-01-28;;;;;;;;;;;;;;;0;0.0;18;283946.0;sim
298;2008-02-06;;;;;;;;;;;;;;;0;0.0;8;841422.0;sim
299;2008-02-11;;;;;;;;;;;;;;;3;29514715.0;121;58937.0;não
300;2008-02-18;;;;;;;;;;;;;;;0;0.0;40;15927.0;sim
301;2008-02-25;;;;;;;;;;;;;;;14;7011395.0;473;18466.0;não
302;2008-03-03;;;;;;;;;;;;;;;804;39446.0;16681;408.0;não
303;2008-03-10;;;;;;;;;;;;;;;1853;14882.0;32747;18.0;não
304;2008-03-17;;;;;;;;;;;;;;;0;0.0;16;306418.0;sim
305;2008-03-24;;;;;;;;;;;;;;;219;407718.0;3686;1959.0;não
306;2008-03-31;;;;;;;;;;;;;;;0;0.0;23;235963.0;sim
307;2008-04-07;;;;;;;;;;;;;;;0;0.0;8;767603.0;sim
308;2008-04-14;;;;;;;;;;;;;;;2;45019798.0;149;51854.0;não
309;2008-04-22;;;;;;;;;;;;;;;0;0.0;22;216159.0;sim
310;2008-04-28;;;;;;;;;;;;;;;2;40391302.0;25;234168.0;não
311;2008-05-05;;;;;;;;;;;;;;;13;1463929.0;437;9332.0;não
312;2008-05-12;;;;;;;;;;;;;;;8;2476351.0;223;19037.0;não
313;2008-05-19;;;;;;;;;;;;;;;1;21156294.0;73;62103.0;não
314;2008-05-26;;;;;;;;;;;;;;;1;21215187.0;44;103321.0;não
315;2008-06-02;;;;;;;;;;;;;;;0;0.0;6;101109.0;sim
316;2008-06-09;;;;;;;;;;;;;;;29;314940.0;983;8669.0;não
317;2008-06-16;;;;;;;;;;;;;;;0;0.0;12;412117.0;sim
318;2008-06-23;;;;;;;;;;;;;;;1;56824088.0;101;71596.0;não
319;2008-06-30;;;;;;;;;;;;;;;0;0.0;29;177173.0;sim
320;2008-07-07;;;;;;;;;;;;;;;0;0.0;49;173488.0;sim
321;2008-07-14;;;;;;;;;;;;;;;0;0.0;19;523791.0;sim
322;2008-07-21;;;;;;;;;;;;;;;34;6278982.0;948;1616.0;não
323;2008-07-28;;;;;;;;;;;;;;;0;0.0;6;854804.0;sim
324;2008-08-04;;;;;;;;;;;;;;;1;62812058.0;112;74383.0;não
325;2008-08-11;;;;;;;;;;;;;;;6;13795345.0;422;18046.0;não
326;2008-08-18;;;;;;;;;;;;;;;104;238205.0;2221;239.0;não
327;2008-08-25;;;;;;;;;;;;;;;0;0.0;12;415362.0;sim
328;2008-09-01;;;;;;;;;;;;;;;0;0.0;13;563394.0;sim
329;2008-09-08;;;;;;;;;;;;;;;69;1353556.0;2101;3667.0;não
330;2008-09-15;;;;;;;;;;;;;;;2;32684119.0;98;70913.0;não
331;2008-09-22;;;;;;;;;;;;;;;144;190535.0;3164;1858.0;não
332;2008-09-29;;;;;;;;;;;;;;;14;1847886.0;399;13894.0;não
333;2008-10-06;;;;;;;;;;;;;;;64;404016.0;1709;3242.0;não
334;2008-10-13;;;;;;;;;;;;;;;0;0.0;1;4762154.0;sim
335;2008-10-20;;;;;;;;;;;;;;;1;85202749.0;41;179289.0;não
336;2008-10-27;;;;;;;;;;;;;;;0;0.0;6;900896.0;sim
337;2008-11-03;;;;;;;;;;;;;;;0;0.0;38;19285.0;sim
338;2008-11-10;;;;;;;;;;;;;;;0;0.0;29;30716.0;sim
339;2008-11-17;;;;;;;;;;;;;;;812;179812.0;11422;845.0;não
340;2008-11-24;;;;;;;;;;;;;;;0;0.0;13;540781.0;sim
341;2008-12-01;;;;;;;;;;;;;;;1;116237586.0;15;639888.0;não
342;2008-12-08;;;;;;;;;;;;;;;0;0.0;1;6476018.0;sim
343;2008-12-15;;;;;;;;;;;;;;;0;0.0;12;286541.0;sim
344;2009-01-05;;;;;;;;;;;;;;;1;56701918.0;12;186325.0;não
345;2009-01-12;;;;;;;;;;;;;;;0;0.0;7;472592.0;sim
